"Source:","C:\Users\bjorn\OneDrive\Projects\µTracer\Schematic\PowerInput\PowerInput.kicad_sch"
"Date:","Fri May 12 08:12:02 2023"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","29"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"11","1","J103","PSU1 Sec","Connector_Generic:Conn_01x02","myDevices:TerminalBlock_LCSC_P5.08mm","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"12","1","J104","To MainBoard","Connector_Generic:Conn_01x02","myDevices:TerminalBlock_LCSC_P5.08mm","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"13","1","J105","230VAC In","Connector_Generic:Conn_01x03","myDevices:TerminalBlock_LCSC_P5.08mm_3","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-3P-BK-S_C430602.pdf"
"14","1","J106","Power LED","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"15","1","J107","Power switch","Connector_Generic:Conn_01x02","myDevices:TerminalBlock_LCSC_P5.08mm","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"16","1","J108","PSU2 Sec","Connector_Generic:Conn_01x02","myDevices:TerminalBlock_LCSC_P5.08mm","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"17","1","J109","To Heater PSU","Connector_Generic:Conn_01x02","myDevices:TerminalBlock_LCSC_P5.08mm","https://datasheet.lcsc.com/lcsc/2301061509_DIBO-DB128L-5-08-2P-BK-S_C430601.pdf"
"18","1","L101","330µH 3.3A","Device:L_Ferrite","Inductor_THT:L_Radial_D24.4mm_P23.70mm_Murata_1400series","~"
"19","3","R101, R102, R103","3.9kΩ 1/2W","Device:R_Small","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","~"
"20","1","RV101","20D431K","Device:Varistor","Varistor:RV_Disc_D21.5mm_W5.6mm_P10mm","~"
